month,ADM3_EN,LST_day_mean,no2_mean,no2_lag1,no2_neighbor_lag1,NTL_mean,pop_sum_m,road_len,poi_count,lu_industrial_area,lu_commercial_area,lu_residential_area,lu_retail_area,lu_farmland_area,lu_farmyard_area,road_primary_len,road_motorway_len,road_trunk_len,road_secondary_len,road_tertiary_len,road_residential_len
2023-11,Lideta,29.790826897798663,0.0007039509178555631,0.0006975921648118959,0.0006951152022546251,423.5321620550666,149520.572265625,238256.11138927197,21.0,127401.41171582477,490441.68090575916,5697785.465824234,641539.5422013435,3.270979477047901,0.0,45984.5164421835,0.0,0.0,13274.699443375684,8543.116371212236,143381.56823950287
2023-11,Nifas Silk Lafto,28.531007113607025,0.0030376373530081975,0.002981383425353754,0.002989602852598935,1037.0012372406309,546690.8269042969,1020947.5290218766,8.0,814229.8479719026,0.0,29793604.541209195,10718.522802027,630510.8660664688,0.0,63965.89918432798,0.0,29480.131225656678,6031.665235660577,48983.06371372432,730069.9503519727
2023-11,Yeka,25.565348036671548,0.00282003124619369,0.002813293114528362,0.00281759456572269,583.545590009111,411173.4640197754,629507.8244182687,8.0,6820.175402169005,22872.035526742053,19262047.908034045,0.0,39209.08000849748,120688.57037222979,32713.710225186594,0.0,0.0,51329.66061620474,19115.57412660214,406901.78687040746
2023-12,Addis Ketema,26.5079511979692,0.0017578664245607725,0.001768732864973547,0.001771012857764809,404.998030167754,280921.71484375,413244.76971781626,6.0,215850.9702058304,265450.8900814801,10882491.456047973,82401.44393116132,0.0,0.0,21095.167212089207,0.0,6407.418335811565,36722.49625661942,9150.718490781326,306043.3825076155
2023-12,Akaki Kality,28.33225004552615,0.008005090221908479,0.008023882490915886,0.008049570140463591,1552.4713236216496,577954.2465810776,1458805.890458251,2.0,5526607.582092061,365328.0545006475,27209144.290578924,40003.522123153525,1773640.419496487,258835.6863758007,54297.55343784546,1750.3353404954569,55487.577655745874,26543.91274598913,83102.65505169929,830728.46839836
2023-12,Arada,27.786687685783,0.0007226453731711967,0.00072340217241331,0.000717494787998072,259.95638214644566,129547.9833984375,154371.31172405052,6.0,0.0,76650.35488586953,4659425.09783472,1932.0280105111356,0.0,0.0,25369.9562524495,0.0,0.0,19406.190678522504,8199.53802469422,79045.1466208676
2023-12,Bole,27.938527353542224,0.005206248061188373,0.005245520666921379,0.00524388855272513,2406.472325391667,591126.6415710449,1126020.3433838214,24.0,896769.3893058358,580416.1541855597,18416451.08505943,10436.188026384647,4883618.38494601,648225.8212969821,101191.315213993,0.0,30499.410243706596,39549.62310854257,27027.424214939256,705045.2746982997
2023-12,Gulele,21.817154992406177,0.002251969493585052,0.002259554980004539,0.0022796756002126848,346.5633557984425,191815.6131362915,343757.35125622124,2.0,247.700025933823,22002.799475087588,7845656.90704623,16931.554441194912,0.0,7270.071742202093,13710.881867102697,0.0,13293.462951652262,20308.566843555647,8066.165702901882,192535.3826680482
2023-12,Kirkos,28.22631592998006,0.0016125849073611738,0.0016166620968904588,0.0016024739317147332,976.5703735966837,246195.3955078125,407445.71887208143,27.0,406792.8336762707,390906.811451437,8308279.97318338,0.0,65818.11835366307,0.0,82489.43161484491,0.0,0.0,21759.51109966339,28967.210286565973,173520.87515752186
2023-12,Kolfe Keraniyo,27.088421161527876,0.004595189109752773,0.004620234234151354,0.00462419391836332,1339.2334427175556,588912.7861328125,999778.8262524343,10.0,291846.42793674866,0.0,33497229.618138816,0.0,72822.25008760257,3254.004578879517,59088.20826516709,0.0,28389.786506119886,1999.0475906724823,21921.792401634888,802951.0311531086
2023-12,Lemi Kura,27.00725683617202,0.004946981121660624,0.004951773213741537,0.004982248637833357,1273.2086100428762,477004.73025512695,1077463.223131778,4.0,1712173.9962421947,0.0,33145748.589403372,0.0,1762514.6735988294,50492.57284487099,59290.56198237499,0.0,20492.203628489955,28991.1462658884,30113.67819436336,823739.0228125532
2023-12,Lideta,28.416137539720363,0.0010225109719956588,0.001023694368372503,0.0010210116877211596,544.1397546474225,149520.572265625,238256.11138927197,21.0,127401.41171582477,490441.68090575916,5697785.465824234,641539.5422013433,3.270979477047901,0.0,45984.5164421835,0.0,0.0,13274.699443375684,8543.116371212236,143381.56823950287
2023-12,Nifas Silk Lafto,27.99587243299907,0.004056191884608214,0.004106973020184975,0.004120677233599843,1311.7926951198167,546690.8269042969,1020947.5290218766,8.0,814229.8479719026,0.0,29793604.541209195,10718.522802027,630510.8660664688,0.0,63965.89918432797,0.0,29480.131225656678,6031.665235660577,48983.06371372432,730069.9503519727
2023-12,Yeka,24.559483997813555,0.0039586300852335185,0.003972655173489665,0.003975326679770339,738.8326446636175,411173.4640197754,629507.8244182687,8.0,6820.175402169005,22872.035526742056,19262047.908034045,0.0,39209.08000849748,120688.57037222979,32713.710225186594,0.0,0.0,51329.66061620474,19115.57412660214,406901.78687040746
2024-01,Addis Ketema,26.368725666040927,0.0016394800930093207,0.0016273105382521743,0.001627881156761287,433.4840857187907,286949.806640625,413244.76971781626,6.0,215850.9702058304,265450.8900814801,10882491.456047973,82401.44393116132,0.0,0.0,21095.167212089207,0.0,6407.418335811565,36722.49625661942,9150.718490781326,306043.3825076155
2024-01,Akaki Kality,28.885691941449135,0.0072390784901698296,0.0072141926260938325,0.007231450621293227,1594.1276669481078,593991.5332946777,1458805.890458251,2.0,5526607.582092061,365328.0545006475,27209144.290578924,40003.522123153525,1773640.419496487,258835.6863758007,54297.55343784546,1750.3353404954569,55487.577655745874,26543.91274598913,83102.65505169929,830728.46839836
